city,state,country,monetary,frequency,donation_start_date,last_donation_date,mean_amount,med_amount,max_amount,min_amount,recency,is_recurring,donor_id
Tucson,AZ,US,51.5,1,2025-04-23 14:12:30,2025-04-23 14:12:30,51.5,51.5,51.5,51.5,232,False,D86
Tucson,AZ,US,850.0,17,2022-10-01 21:33:01,2024-02-01 20:43:03,50.0,50.0,50.0,50.0,678,True,D87
Sahuarita,AZ,US,51.5,1,2022-09-01 21:30:21,2022-09-01 21:30:21,51.5,51.5,51.5,51.5,1196,False,D88
Longmont,CO,US,1030.0,20,2022-08-12 17:54:08,2024-04-01 20:58:25,51.5,51.5,51.5,51.5,618,True,D89
Fort Collins,CO,US,2500.0,25,2022-08-10 18:07:53,2024-08-10 14:25:57,100.0,100.0,100.0,100.0,488,True,D90
Tucson,AZ,US,1339.0,13,2022-10-01 21:33:14,2023-10-01 20:40:16,103.0,103.0,103.0,103.0,801,True,D91
Tempe,AZ,US,5275.0,40,2022-09-12 17:43:47,2025-11-15 19:23:24,131.875,125.0,400.0,125.0,25,True,D92
Lubbock,TX,US,700.0,14,2024-10-16 14:31:00,2025-11-16 19:19:31,50.0,50.0,50.0,50.0,24,True,D93
Rosemount,MN,US,250.0,1,2022-05-24 09:00:00,2022-05-24 09:00:00,250.0,250.0,250.0,250.0,1297,False,D94
Tucson,AZ,US,4600.0,42,2022-08-01 21:50:12,2025-12-01 19:23:46,109.52380952380952,100.0,500.0,100.0,9,True,D95
